keyword,category,intensity,target
kontol,abusive,strong,individual
memek,abusive,strong,individual
jancok,abusive,moderate,individual
bangsat,abusive,strong,individual
anjing,abusive,moderate,individual
asu,abusive,moderate,individual
goblok,abusive,weak,individual
bodoh,abusive,weak,individual
bego,abusive,weak,individual
tolol,abusive,weak,individual
idiot,abusive,weak,individual
babi,racial,strong,group
monyet,racial,strong,group
cina,racial,strong,group
cokin,racial,moderate,group
indon,racial,moderate,group
jawa,racial,weak,group
sunda,racial,weak,group
batak,racial,weak,group
papua,racial,weak,group
kafir,religious,strong,group
murtad,religious,strong,group
kristen,religious,moderate,group
budha,religious,moderate,group
yahudi,religious,moderate,group
islam,religious,moderate,group
muslim,religious,moderate,group
ngentot,abusive,strong,individual
ngtd,abusive,strong,individual
kontl,abusive,strong,individual
ktl,abusive,strong,individual
anjg,abusive,moderate,individual
anjir,abusive,moderate,individual
bgsat,abusive,strong,individual
bngst,abusive,strong,individual
asw,abusive,moderate,individual
gblk,abusive,weak,individual
gblok,abusive,weak,individual
jancok koe,abusive,moderate,individual
