Regency/Municipality 17,,,,,,,,,,,,,
,Jumlah Perjalanan Wisatawan Nusantara Menurut Kabupaten/Kota Asal di Sumatera Selatan (Perjalanan),,,,,,,,,,,,
,2024,,,,,,,,,,,,
,January,February,March,April,May,June,July,August,September,October,November,December,Annually
South Sumatera,1580053,1398899,1350139,1869157,1438593,1470817,1449100,1438726,1639793,1635045,1587669,2062915,18920906
Ogan Komering Ulu,64048,54281,51308,71993,56088,57948,60436,55913,64823,61209,59179,79144,736370
Ogan Komering Ilir,142931,120222,119423,169350,126495,130655,125503,119920,139365,141769,139753,174437,1649823
Muara Enim,128266,117344,111072,152060,115533,119591,113689,114260,139806,143311,131623,164988,1551543
Lahat,73657,65199,60182,79946,65322,68756,69779,66287,85068,80858,77855,106099,899008
Musi Rawas,64698,53059,51724,74154,56697,59207,57129,59082,57721,59217,57106,76450,726244
Musi Banyuasin,131872,111225,108102,154882,115432,118538,114150,110543,91515,89509,89031,114251,1349050
Banyuasin,160459,146426,144827,204898,152422,153897,150100,148188,157615,170575,164202,202496,1956105
Ogan Komering Ulu Selatan,42024,35061,38263,50067,39596,42339,45458,43954,38379,35338,31885,42275,484639
Ogan Komering Ulu Timur,77574,67892,67103,87452,72852,70383,77346,78420,86910,91917,92573,120777,991199
Ogan Ilir,75292,67020,67686,81568,67498,63933,64912,69530,95233,105582,100765,125931,984950
Empat Lawang,33095,28271,30313,36900,32404,35067,36868,33716,45928,37921,34746,53672,438901
Pali,47860,43898,41878,48774,41553,43863,41780,36462,40106,42328,37110,47477,513089
Musi Rawas Utara,46982,38611,37696,48985,40275,37036,36062,37876,37126,37300,34906,48587,481442
Palembang,342900,310423,287306,425979,310545,322412,306598,321939,395296,376598,380270,488374,4268640
Prabumulih,55587,51935,50149,67627,53411,53767,55171,51328,62549,60676,59166,76230,697596
Pagar Alam,31983,30176,28635,37177,32726,31533,33608,30828,33800,34467,32203,46778,403914
Lubuk Linggau,60825,57856,54472,77345,59744,61892,60511,60480,68553,66470,65296,94949,788393
